route_id,route_short_name,route_long_name,route_type
403,C01c,Ruta C01c regreso,3
404,C02,Ruta C02 ida,3
405,C02,Ruta C02 regreso,3
406,C02c,Ruta C02c ida,3
407,C02c,Ruta C02c regreso,3
408,C03,Ruta C03 regreso,3
409,C03c,Ruta C03c ida,3
410,C03c,Ruta C03c regreso,3
411,C05,Ruta C05 ida,3
412,C05,Ruta C05 regreso,3
413,C06,Ruta C06 ida,3
414,C06,Ruta C06 regreso,3
415,C06c,Ruta C06c ida,3
416,C07,Ruta C07 ida,3
417,C07,Ruta C07 regreso,3
418,C09,Ruta C09 ida,3
419,C09c,Ruta C09c ida,3
420,C10e,Ruta C10e ida,3
421,C10e,Ruta C10e regreso,3
422,C11,Ruta C11 ida,3
423,C13,Ruta C13 ida,3
424,C14,Ruta C14 ida,3
425,C14,Ruta C14 regreso,3
426,C15,Ruta C15 ida,3
427,C16,Ruta C16 ida,3
428,C16,Ruta C16 regreso,3
429,C17,Ruta C17 ida,3
430,C17,Ruta C17 regreso,3
431,C18,Ruta C18 ida,3
432,C18,Ruta C18 regreso,3
433,C19,Ruta C19 ida,3
434,C19,Ruta C19 regreso,3
435,C20,Ruta C20 ida,3
436,C22,Ruta C22 ida,3
437,C22,Ruta C22 regreso,3
438,C27,Ruta C27 ida,3
439,C28,Ruta C28 ida,3
440,C28,Ruta C28 regreso,3
441,C37,Ruta C37 regreso,3
442,D01,Ruta D01 ida,3
443,D02,Ruta D02 ida,3
444,D02,Ruta D02 regreso,3
445,D03,Ruta D03 ida,3
446,D03,Ruta D03 regreso,3
447,D03c,Ruta D03c ida,3
448,D05,Ruta D05 ida,3
449,D05,Ruta D05 regreso,3
450,D07,Ruta D07 ida,3
451,D07,Ruta D07 regreso,3
452,D07c,Ruta D07c ida,3
453,D08,Ruta D08 ida,3
454,D08,Ruta D08 regreso,3
455,D09,Ruta D09 ida,3
456,D09,Ruta D09 regreso,3
457,D10,Ruta D10 ida,3
458,D10,Ruta D10 regreso,3
459,D11,Ruta D11 ida,3
460,D11,Ruta D11 regreso,3
461,D13,Ruta D13 ida,3
462,D13,Ruta D13 regreso,3
463,D14,Ruta D14 ida,3
464,D14,Ruta D14 regreso,3
465,D15,Ruta D15 ida,3
466,D15,Ruta D15 regreso,3
467,D16,Ruta D16 ida,3
468,D16,Ruta D16 regreso,3
469,D17,Ruta D17 ida,3
470,D17,Ruta D17 regreso,3
471,D17v,Ruta D17v ida,3
472,D17v,Ruta D17v regreso,3
473,D18,Ruta D18 ida,3
474,D18,Ruta D18 regreso,3
475,D20,Ruta D20 ida,3
476,D20,Ruta D20 regreso,3
477,E01,Ruta E01 ida,3
478,E01,Ruta E01 regreso,3
479,E02,Ruta E02 ida,3
480,E02,Ruta E02 regreso,3
481,E03,Ruta E03 ida,3
482,E03,Ruta E03 regreso,3
483,E04,Ruta E04 ida,3
484,E04,Ruta E04 regreso,3
485,E05,Ruta E05 ida,3
486,E05,Ruta E05 regreso,3
487,E06,Ruta E06 ida,3
488,E06,Ruta E06 regreso,3
489,E07,Ruta E07 ida,3
490,E07,Ruta E07 regreso,3
491,E08,Ruta E08 ida,3
492,E08,Ruta E08 regreso,3
493,E09,Ruta E09 ida,3
494,E09,Ruta E09 regreso,3
495,E10,Ruta E10 ida,3
496,E10,Ruta E10 regreso,3
497,E11,Ruta E11 ida,3
498,E11,Ruta E11 regreso,3
499,E12,Ruta E12 ida,3
500,E12,Ruta E12 regreso,3
501,E13,Ruta E13 ida,3
502,E13,Ruta E13 regreso,3
503,E14,Ruta E14 ida,3
504,E14,Ruta E14 regreso,3
505,E15c,Ruta E15c ida,3
506,E15c,Ruta E15c regreso,3
507,E16,Ruta E16 ida,3
508,E16,Ruta E16 regreso,3
509,E17,Ruta E17 ida,3
510,E17,Ruta E17 regreso,3
511,E18,Ruta E18 ida,3
512,E18,Ruta E18 regreso,3
513,F01,Ruta F01 ida,3
514,F01,Ruta F01 regreso,3
515,F01c,Ruta F01c ida,3
516,F01c,Ruta F01c regreso,3
517,F02,Ruta F02 ida,3
518,F03,Ruta F03 ida,3
519,F03,Ruta F03 regreso,3
520,F03c,Ruta F03c ida,3
521,F05,Ruta F05 ida,3
522,F05,Ruta F05 regreso,3
523,F06,Ruta F06 ida,3
524,F06,Ruta F06 regreso,3
525,F07,Ruta F07 ida,3
526,F07,Ruta F07 regreso,3
527,F08,Ruta F08 ida,3
528,F08,Ruta F08 regreso,3
529,F09,Ruta F09 ida,3
530,F09,Ruta F09 regreso,3
531,F10,Ruta F10 ida,3
532,F10,Ruta F10 regreso,3
533,F10c,Ruta F10c ida,3
534,F10c,Ruta F10c regreso,3
535,F11,Ruta F11 ida,3
536,F11,Ruta F11 regreso,3
537,F12,Ruta F12 ida,3
538,F12,Ruta F12 regreso,3
539,F12c,Ruta F12c ida,3
540,F12c,Ruta F12c regreso,3
541,F13,Ruta F13 ida,3
542,F13,Ruta F13 regreso,3
543,F13c,Ruta F13c ida,3
544,F13c,Ruta F13c regreso,3
545,F14,Ruta F14 ida,3
546,F14,Ruta F14 regreso,3
547,F15,Ruta F15 ida,3
548,F15,Ruta F15 regreso,3
549,F16,Ruta F16 ida,3
550,F16,Ruta F16 regreso,3
551,F18,Ruta F18 ida,3
552,F18,Ruta F18 regreso,3
553,F20,Ruta F20 ida,3
554,F20,Ruta F20 regreso,3
555,F24,Ruta F24 ida,3
556,F24,Ruta F24 regreso,3
557,F25,Ruta F25 ida,3
558,F25,Ruta F25 regreso,3
559,F25e,Ruta F25e ida,3
560,F25e,Ruta F25e regreso,3
561,F26,Ruta F26 ida,3
562,F27,Ruta F27 ida,3
563,F27,Ruta F27 regreso,3
564,F29,Ruta F29 ida,3
565,F29,Ruta F29 regreso,3
566,F30n,Ruta F30n ida,3
567,F30n,Ruta F30n regreso,3
568,F33,Ruta F33 ida,3
569,F33,Ruta F33 regreso,3
570,G01,Ruta G01 ida,3
571,G01,Ruta G01 regreso,3
572,G01c,Ruta G01c ida,3
573,G01c,Ruta G01c regreso,3
574,G02,Ruta G02 ida,3
575,G02,Ruta G02 regreso,3
576,G04,Ruta G04 ida,3
577,G04,Ruta G04 regreso,3
578,G05,Ruta G05 ida,3
579,G05,Ruta G05 regreso,3
580,G07,Ruta G07 ida,3
581,G07,Ruta G07 regreso,3
582,G08,Ruta G08 ida,3
583,G08,Ruta G08 regreso,3
584,G08v,Ruta G08v ida,3
